song_id,title,artist,version,song_type
174,Extravaganza,Banya,Fiesta,shortcut
794,Extreme Music School 1st period feat. Nanahira,Massive New Krew & RoughSketch,phoenix,arcade
795,Extreme Music School 2nd period feat. Nanahira,Massive New Krew & RoughSketch,phoenix,arcade
610,F(R)IEND,D_AAN,XX,arcade
247,FFF,Doin,Fiesta2,arcade
267,FFF,Doin,Fiesta2,shortcut
810,FLVSH OUT,Getty,phoenix,arcade
500,Fallen Angel,DM Ashura,Prime2,arcade
104,Faster Z,YAHPP,NX2,arcade
327,Feel My Happiness,3R2,Prime,arcade
797,Festival of Death Moon,SHK,phoenix,arcade
5,Final Audition,BanYa,2nd,arcade
10,Final Audition 2,BanYa,3rd,arcade
169,Final Audition 2,Banya,Fiesta,shortcut
59,Final Audition 3,BanYa,Exceed,arcade
170,Final Audition 3,Banya,Fiesta,shortcut
171,Final Audition EP.2-X,YAHPP,Fiesta,shortcut
32,Final Audition Ep.1,BanYa,Extra,arcade
93,Final Audition Ep.2-1,YAHPP,NX,arcade
94,Final Audition Ep.2-2,YAHPP,NX,arcade
126,Final Audition Ep.2-X,YAHPP,NXA,arcade
648,Fire Noodle Challenge,Memme,XX,remix
600,Fires of Destiny,Jehezukiel,XX,arcade
21,First Love,BanYa,3rdSE,arcade
745,Flavor Step!,EmoCosine,phoenix,arcade
562,Fly high,Dreamcatcher,XX,arcade
259,Follow me,SHK,Fiesta2,arcade
278,Force of Ra,Memme,Prime,arcade
602,Forgotten Vampire,WyvernP,XX,arcade
773,Fracture Temporelle,Kurokotei,phoenix,arcade
15,Free Style,BanYa,3rd,arcade
615,Full Moon,Dreamcatcher,XX,arcade
672,Full Moon - FULL SONG -,Dreamcatcher,XX,fullsong
388,Further,Doin,Prime2,arcade
682,GLORIA,Croire,XX,arcade
693,GOOD NIGHT - FULL SONG -,Dreamcatcher,XX,fullsong
723,GOODBOUNCE,EBIMAYO,phoenix,arcade
716,GOODTEK,EBIMAYO,phoenix,arcade
728,Galaxy Collapse,Kurokotei,phoenix,arcade
199,Gargoyle,Sanxion7,FiestaEX,arcade
537,Gargoyle,Sanxion7,Prime2,fullsong
154,Get Up (and go),Banya Production,Fiesta,arcade
65,Get Up!,BanYa,Exceed,arcade
36,Get Your Groove On,BanYa,Rebirth,arcade
710,Ghroth,nato,phoenix,arcade
812,Ghroth - SHORT CUT -,nato,phoenix,shortcut
764,Giselle,Sobrem a.k.a. Widowmaker,phoenix,arcade
832,Glimmer Gleam,Doin,phoenix,arcade
671,God Mode 2.0 feat Skizzo,Nato,XX,arcade
387,God Mode feat. skizzo,Nato,Prime2,arcade
483,Good Night,Dreamcatcher,Prime2,arcade
532,Gothique Resonance,P4Koo,Prime2,arcade
106,Guitar Man,Banya Production,NX2,arcade
90,Gun Rock,Banya Production,NX,arcade
608,HEART RABBIT COASTER,Nato,XX,arcade
474,HELIX,ESTi,Prime2,arcade
514,HTTP,Quree,Prime2,arcade
476,HUSH,Yassi Pressman & Nadine Lustre,Prime2,arcade
477,HUSH,Yassi Pressman & Nadine Lustre,Prime2,fullsong
363,HYPERCUBE,MAX,Prime,arcade
725,Halcyon,xi,phoenix,arcade
731,Halloween Party ~Multiverse~,SHK,phoenix,arcade
828,Halloween Party ~Multiverse~ - SHORT CUT -,SHK,phoenix,shortcut
226,Hardkore of the North,Diclonius Kid,Fiesta2,arcade
674,Harmagedon,HyuN vs lixound,XX,arcade
663,Headless Chicken,r3ook,XX,arcade
507,Heart Attack,DJ Counterforce,Prime2,arcade
386,Hellfire,Memme,Prime2,arcade
56,Hello,BanYa,Premiere3,arcade
152,Hello William,Banya Production,Fiesta,arcade
284,Hestia,Gentle Stick,Prime,arcade
494,Hey U,MAZO,Prime2,arcade
69,Hi Bi,BanYa,Exceed2,arcade
107,Higgledy Piggledy,Banya Production,NX2,arcade
